Depth_Bins,EC,FractionalTPH,seTPH,Group
0.0 - 0.5 m,Aliphatic >EC5 - EC6,0.01,0,Reference
0.0 - 0.5 m,Aliphatic >EC6 - EC8,0.05,0,Reference
0.0 - 0.5 m,Aliphatic >EC8 - EC10,0.04,0,Reference
0.0 - 0.5 m,Aliphatic >EC10 - EC12,0.06,0,Reference
0.0 - 0.5 m,Aliphatic >EC12 - EC16,0.15,0,Reference
0.0 - 0.5 m,Aliphatic >EC16 - EC21,0.14,0,Reference
0.0 - 0.5 m,Aliphatic >EC21 - EC35,0.17,0,Reference
0.0 - 0.5 m,Aromatic >EC8 - EC10,0.01,0,Reference
0.0 - 0.5 m,Aromatic >EC10 - EC12,0.01,0,Reference
0.0 - 0.5 m,Aromatic >EC12 - EC16,0.06,0,Reference
0.0 - 0.5 m,Aromatic >EC16 - EC21,0.09,0,Reference
0.0 - 0.5 m,Aromatic >EC21 - EC35,0.15,0,Reference
0.5 - 1.0 m,Aliphatic >EC5 - EC6,0.01,0,Reference
0.5 - 1.0 m,Aliphatic >EC6 - EC8,0.05,0,Reference
0.5 - 1.0 m,Aliphatic >EC8 - EC10,0.04,0,Reference
0.5 - 1.0 m,Aliphatic >EC10 - EC12,0.06,0,Reference
0.5 - 1.0 m,Aliphatic >EC12 - EC16,0.15,0,Reference
0.5 - 1.0 m,Aliphatic >EC16 - EC21,0.14,0,Reference
0.5 - 1.0 m,Aliphatic >EC21 - EC35,0.17,0,Reference
0.5 - 1.0 m,Aromatic >EC8 - EC10,0.01,0,Reference
0.5 - 1.0 m,Aromatic >EC10 - EC12,0.01,0,Reference
0.5 - 1.0 m,Aromatic >EC12 - EC16,0.06,0,Reference
0.5 - 1.0 m,Aromatic >EC16 - EC21,0.09,0,Reference
0.5 - 1.0 m,Aromatic >EC21 - EC35,0.15,0,Reference
1.0 - 1.5 m,Aliphatic >EC5 - EC6,0.01,0,Reference
1.0 - 1.5 m,Aliphatic >EC6 - EC8,0.05,0,Reference
1.0 - 1.5 m,Aliphatic >EC8 - EC10,0.04,0,Reference
1.0 - 1.5 m,Aliphatic >EC10 - EC12,0.06,0,Reference
1.0 - 1.5 m,Aliphatic >EC12 - EC16,0.15,0,Reference
1.0 - 1.5 m,Aliphatic >EC16 - EC21,0.14,0,Reference
1.0 - 1.5 m,Aliphatic >EC21 - EC35,0.17,0,Reference
1.0 - 1.5 m,Aromatic >EC8 - EC10,0.01,0,Reference
1.0 - 1.5 m,Aromatic >EC10 - EC12,0.01,0,Reference
1.0 - 1.5 m,Aromatic >EC12 - EC16,0.06,0,Reference
1.0 - 1.5 m,Aromatic >EC16 - EC21,0.09,0,Reference
1.0 - 1.5 m,Aromatic >EC21 - EC35,0.15,0,Reference
1.5 - 2.0 m,Aliphatic >EC5 - EC6,0.01,0,Reference
1.5 - 2.0 m,Aliphatic >EC6 - EC8,0.05,0,Reference
1.5 - 2.0 m,Aliphatic >EC8 - EC10,0.04,0,Reference
1.5 - 2.0 m,Aliphatic >EC10 - EC12,0.06,0,Reference
1.5 - 2.0 m,Aliphatic >EC12 - EC16,0.15,0,Reference
1.5 - 2.0 m,Aliphatic >EC16 - EC21,0.14,0,Reference
1.5 - 2.0 m,Aliphatic >EC21 - EC35,0.17,0,Reference
1.5 - 2.0 m,Aromatic >EC8 - EC10,0.01,0,Reference
1.5 - 2.0 m,Aromatic >EC10 - EC12,0.01,0,Reference
1.5 - 2.0 m,Aromatic >EC12 - EC16,0.06,0,Reference
1.5 - 2.0 m,Aromatic >EC16 - EC21,0.09,0,Reference
1.5 - 2.0 m,Aromatic >EC21 - EC35,0.15,0,Reference
2.0 - 2.5 m,Aliphatic >EC5 - EC6,0.01,0,Reference
2.0 - 2.5 m,Aliphatic >EC6 - EC8,0.05,0,Reference
2.0 - 2.5 m,Aliphatic >EC8 - EC10,0.04,0,Reference
2.0 - 2.5 m,Aliphatic >EC10 - EC12,0.06,0,Reference
2.0 - 2.5 m,Aliphatic >EC12 - EC16,0.15,0,Reference
2.0 - 2.5 m,Aliphatic >EC16 - EC21,0.14,0,Reference
2.0 - 2.5 m,Aliphatic >EC21 - EC35,0.17,0,Reference
2.0 - 2.5 m,Aromatic >EC8 - EC10,0.01,0,Reference
2.0 - 2.5 m,Aromatic >EC10 - EC12,0.01,0,Reference
2.0 - 2.5 m,Aromatic >EC12 - EC16,0.06,0,Reference
2.0 - 2.5 m,Aromatic >EC16 - EC21,0.09,0,Reference
2.0 - 2.5 m,Aromatic >EC21 - EC35,0.15,0,Reference
2.5 - 3.0 m,Aliphatic >EC5 - EC6,0.01,0,Reference
2.5 - 3.0 m,Aliphatic >EC6 - EC8,0.05,0,Reference
2.5 - 3.0 m,Aliphatic >EC8 - EC10,0.04,0,Reference
2.5 - 3.0 m,Aliphatic >EC10 - EC12,0.06,0,Reference
2.5 - 3.0 m,Aliphatic >EC12 - EC16,0.15,0,Reference
2.5 - 3.0 m,Aliphatic >EC16 - EC21,0.14,0,Reference
2.5 - 3.0 m,Aliphatic >EC21 - EC35,0.17,0,Reference
2.5 - 3.0 m,Aromatic >EC8 - EC10,0.01,0,Reference
2.5 - 3.0 m,Aromatic >EC10 - EC12,0.01,0,Reference
2.5 - 3.0 m,Aromatic >EC12 - EC16,0.06,0,Reference
2.5 - 3.0 m,Aromatic >EC16 - EC21,0.09,0,Reference
2.5 - 3.0 m,Aromatic >EC21 - EC35,0.15,0,Reference
3.0 - 3.5 m,Aliphatic >EC5 - EC6,0.01,0,Reference
3.0 - 3.5 m,Aliphatic >EC6 - EC8,0.05,0,Reference
3.0 - 3.5 m,Aliphatic >EC8 - EC10,0.04,0,Reference
3.0 - 3.5 m,Aliphatic >EC10 - EC12,0.06,0,Reference
3.0 - 3.5 m,Aliphatic >EC12 - EC16,0.15,0,Reference
3.0 - 3.5 m,Aliphatic >EC16 - EC21,0.14,0,Reference
3.0 - 3.5 m,Aliphatic >EC21 - EC35,0.17,0,Reference
3.0 - 3.5 m,Aromatic >EC8 - EC10,0.01,0,Reference
3.0 - 3.5 m,Aromatic >EC10 - EC12,0.01,0,Reference
3.0 - 3.5 m,Aromatic >EC12 - EC16,0.06,0,Reference
3.0 - 3.5 m,Aromatic >EC16 - EC21,0.09,0,Reference
3.0 - 3.5 m,Aromatic >EC21 - EC35,0.15,0,Reference
> 3.5 m,Aliphatic >EC5 - EC6,0.01,0,Reference
> 3.5 m,Aliphatic >EC6 - EC8,0.05,0,Reference
> 3.5 m,Aliphatic >EC8 - EC10,0.04,0,Reference
> 3.5 m,Aliphatic >EC10 - EC12,0.06,0,Reference
> 3.5 m,Aliphatic >EC12 - EC16,0.15,0,Reference
> 3.5 m,Aliphatic >EC16 - EC21,0.14,0,Reference
> 3.5 m,Aliphatic >EC21 - EC35,0.17,0,Reference
> 3.5 m,Aromatic >EC8 - EC10,0.01,0,Reference
> 3.5 m,Aromatic >EC10 - EC12,0.01,0,Reference
> 3.5 m,Aromatic >EC12 - EC16,0.06,0,Reference
> 3.5 m,Aromatic >EC16 - EC21,0.09,0,Reference
> 3.5 m,Aromatic >EC21 - EC35,0.15,0,Reference